models,node_num,pp_size,mbs,iteration_time,checkpoint_time,load_checkpoint_time
gpt3_350M,8,1,8,18427.9,16.814680814743042,10.357000589370728
gpt3_350M,10,1,8,15177.45,30.069659948349,11.774185419082642
gpt3_350M,12,1,8,12944.45,30.058141708374023,19.27047896385193
gpt3_350M,14,1,8,11188.8,30.082741737365723,18.704102277755737
gpt3_350M,16,1,8,9436.8,30.09256076812744,18.964494943618774
gpt3_350M,18,1,8,9023.099999999999,30.09554433822632,19.27271032333374
gpt3_350M,20,1,8,7891.7,30.105573177337646,19.638293743133545
gpt3_350M,22,1,8,7259.5,30.172022342681885,19.892324686050415
gpt3_350M,24,1,8,6710.7,30.188164234161377,19.38708257675171
gpt3_350M,26,1,8,6211.6,30.24307370185852,18.634662866592407
gpt3_350M,28,1,8,6240.7,30.203667163848877,18.544590711593628
gpt3_350M,30,1,8,5637.200000000001,30.211402654647827,19.471648931503296
gpt3_350M,32,1,8,5109.05,30.195472717285156,18.36545991897583
gpt3_1_3B,8,2,4,65394.5,29.210601091384888,11.583501100540161
gpt3_1_3B,10,2,4,52950.350000000006,30.057271718978882,10.522547960281372
gpt3_1_3B,12,2,4,44357.95,30.068870544433594,27.967939376831055
gpt3_1_3B,14,2,4,38159.1,30.076270580291748,26.741855144500732
gpt3_1_3B,16,2,4,33279.0,30.086347818374634,28.007686614990234
gpt3_1_3B,18,2,4,29873.85,30.08721399307251,24.11807608604431
gpt3_1_3B,20,2,4,26675.65,30.091187953948975,25.170148134231567
gpt3_1_3B,22,2,4,24647.75,30.200622081756592,25.168063640594482
gpt3_1_3B,24,2,4,23080.85,30.186250686645508,25.632517337799072
gpt3_1_3B,26,2,4,21409.7,30.187113285064697,24.184755325317383
gpt3_1_3B,28,2,4,20066.6,30.20734453201294,24.23905301094055
gpt3_1_3B,30,2,4,18339.0,30.198668479919434,25.15847611427307
gpt3_1_3B,32,2,4,17410.0,30.20349645614624,24.256783723831177
gpt3_2_7B,8,4,4,121904.25,39.357837200164795,10.181777477264404
gpt3_2_7B,10,5,8,106939.65,32.25250840187073,20.715348482131958
gpt3_2_7B,12,4,4,83762.6,36.823545694351196,38.07725119590759
gpt3_2_7B,14,7,8,79147.0,30.074512720108032,32.71923494338989
gpt3_2_7B,16,4,4,62552.05,37.75280523300171,35.38943862915039
gpt3_2_7B,18,6,4,56893.45,32.004420042037964,22.471484661102295
gpt3_2_7B,20,4,4,51771.600000000006,41.13424515724182,27.166701316833496
gpt3_2_7B,22,11,8,54093.6,39.31004786491394,11.6849365234375
gpt3_2_7B,24,4,4,42976.35,36.49476099014282,24.90848708152771
gpt3_2_7B,26,13,8,54578.0,42.70061421394348,10.965550899505615
gpt3_2_7B,28,4,4,37343.3,36.70478940010071,27.423149347305298
gpt3_2_7B,30,5,4,34225.6,33.69060921669006,21.82697820663452
gpt3_2_7B,32,4,4,32710.5,35.343666315078735,26.449281215667725
gpt3_6_7B,8,8,4,293718.75,76.63268446922302,11.983688831329346
gpt3_6_7B,10,10,4,241238.45,61.54402685165405,65.06678342819214
gpt3_6_7B,12,6,2,162903.1,75.79498219490051,92.50305080413818
gpt3_6_7B,14,7,2,134283.45,68.53757238388062,79.8461217880249
gpt3_6_7B,16,8,2,136259.5,77.39305377006531,63.019493103027344
gpt3_6_7B,18,6,2,109026.1,76.18337631225586,56.310205936431885
gpt3_6_7B,20,10,4,121270.55,59.45539569854736,40.50340676307678
gpt3_6_7B,22,11,4,97744.9,51.46634364128113,28.60084867477417
gpt3_6_7B,24,8,4,99978.45,77.40424585342407,54.83458733558655
gpt3_6_7B,26,13,4,96948.75,60.4861421585083,27.477646827697754
gpt3_6_7B,28,7,2,70622.79999999999,70.13452649116516,52.878767013549805
gpt3_6_7B,30,6,2,68958.0,75.6870174407959,58.025174379348755
gpt3_6_7B,32,8,4,76664.95000000001,77.68272423744202,53.6635160446167
gpt3_13B,12,12,1,343230.80000000005,89.18057918548584,68.26217246055603
gpt3_13B,14,14,1,280339.75,87.05459761619568,48.140522480010986
gpt3_13B,16,16,4,264430.2,95.26400947570801,47.59603714942932
gpt3_13B,18,18,2,228236.6,97.67761659622192,49.437211990356445
gpt3_13B,20,20,4,268792.5,95.54316997528076,43.0238139629364
gpt3_13B,22,11,2,156032.5,93.68040823936462,68.50661540031433
gpt3_13B,24,12,2,156701.35,88.82246208190918,71.21984887123108
gpt3_13B,26,13,2,157464.45,97.45006918907166,70.307293176651
gpt3_13B,28,14,2,116824.2,83.71783947944641,49.9545521736145
gpt3_13B,30,15,4,133631.75,88.13322758674622,48.712401390075684
gpt3_13B,32,16,4,134875.15000000002,95.37255597114563,43.168864250183105
